Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Cognitive Level,Subject
Wireless and Mobile Networks,Which of the following is not a disadvantage of wireless networks?,Low speed,Interference and obstacles,Security concerns,High power consumption,4,1,1,CN
Wireless and Mobile Networks,Which of the following technology is used for wireless local area network (WLAN)?,Bluetooth,GPS,IEEE 802.11,WiMax,3,2,2,CN
Wireless and Mobile Networks,Which of the following network architecture is used in a mobile network?,Peer-to-Peer,Client-Server,Infrastructure,Ad-hoc,3,2,3,CN
Wireless and Mobile Networks,Which of the following is a technique that is used to improve wireless network coverage?,Repeater,Router,Firewall,Hub,1,2,2,CN
Wireless and Mobile Networks,Which of the following is a protocol that is used for mobile communication?,GPRS,SMTP,HTTP,FTP,1,3,4,CN
Cloud computing and network virtualization,Which of the following is not a cloud service model?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),Desktop as a Service (DaaS),4,1,1,CN
Cloud computing and network virtualization,Which of the following is a characteristic of cloud computing?,Limited scalability,Requires local installation,Pay-per-use model,Static configuration,3,2,2,CN
Cloud computing and network virtualization,Which of the following technology is used to create virtual networks on top of physical networks?,Software Defined Networking (SDN),Network Address Translation (NAT),Quality of Service (QoS),Virtual Private Network (VPN),1,2,3,CN
Cloud computing and network virtualization,Which of the following is not a benefit of network virtualization?,Reduced hardware costs,Improved network security,Enhanced network flexibility,Easier network management,2,2,2,CN
Cloud computing and network virtualization,Which of the following is not a characteristic of cloud computing?,On-demand self-service,Location-based services,Resource pooling,Rapid elasticity,2,2,2,CN
Cloud computing and network virtualization,Which of the following technology is used to enable different virtual machines to share a single physical server?,Virtualization,Clustering,Partitioning,Load Balancing,1,2,3,CN
Cloud computing and network virtualization,Which of the following is a cloud deployment model?,Public cloud,Local cloud,Hybrid cloud,Personal cloud,1,2,2,CN
Cloud computing and network virtualization,Which of the following is a security measure that can be used to secure cloud computing?,Firewalls,Intrusion Detection Systems (IDS),Virtual Private Networks (VPN),All of the above,4,3,4,CN
Cloud computing and network virtualization,Which of the following is a cloud computing platform provided by Amazon Web Services?,Microsoft Azure,Google Cloud Platform,AWS Elastic Beanstalk,OpenStack,3,3,4,CN
Cloud computing and network virtualization,Which of the following is not a characteristic of Software Defined Networking (SDN)?,Centralized control,Separation of control and data planes,Programmability of network devices,Use of proprietary protocols,4,3,4,CN
Introduction to DBMS,Which of the following is not a type of DBMS?,Hierarchical DBMS,Network DBMS,Relational DBMS,Object-Oriented DBMS,4,1,1,DBMS
Introduction to DBMS,What is the purpose of a database?,To store and manage data,To create software applications,To browse the internet,To edit images and videos,1,1,1,DBMS
Introduction to DBMS,Which of the following is not a component of DBMS?,Database administrator,Database schema,Database tables,Operating system,4,2,2,DBMS
Introduction to DBMS,What is a primary key?,A unique identifier for each row in a table,An attribute that can have multiple values,An attribute that can be null,An attribute that is a foreign key,1,2,2,DBMS
Introduction to DBMS,What is the difference between a DBMS and a file system?,DBMS provides efficient and secure access to data,File system does not allow sharing of data,File system provides backup and recovery options,File system is not designed for handling large amounts of data,1,2,3,DBMS
Introduction to DBMS,What is a foreign key?,An attribute that can have multiple values,An attribute that is a primary key in another table,An attribute that can be null,An attribute that is not used as a key,2,2,2,DBMS
Introduction to DBMS,What is normalization in DBMS?,The process of organizing data to minimize redundancy,The process of deleting duplicate data,The process of creating a database schema,The process of connecting to a database,1,3,4,DBMS
Introduction to DBMS,What is SQL?,A language used to manage relational databases,An operating system for managing databases,An application used to create databases,An algorithm used to store data,1,2,2,DBMS
Introduction to DBMS,What is a transaction?,A sequence of database operations that are treated as a single unit of work,An attribute in a database table,The process of removing data from a database,The process of adding data to a database,1,3,3,DBMS
Introduction to DBMS,What is a view in DBMS?,A virtual table based on the result of a query,An attribute in a database table,An index used to speed up queries,The process of creating a database schema,1,3,4,DBMS
Relational Model and Normalization,Which of the following is not a property of a relation in a relational database?,Each row is unique,Each column has a unique name,Order of rows is important,Each cell contains atomic values,3,2,2,DBMS
Relational Model and Normalization,Which normal form eliminates transitive dependencies?,1NF,2NF,3NF,BCNF,3,2,2,DBMS
Relational Model and Normalization,Which of the following is used to represent relationships between tables in a relational database?,Foreign key,Primary key,Unique key,Composite key,1,1,1,DBMS
Relational Model and Normalization,Which of the following is a technique used to design and improve the structure of a relational database?,Normalization,Denormalization,Data modeling,Data warehousing,1,2,3,DBMS
Relational Model and Normalization,Which normal form is achieved when all non-key attributes are functionally dependent on the primary key?,1NF,2NF,3NF,BCNF,3,2,2,DBMS
Relational Model and Normalization,Which of the following is not a type of join in SQL?,Inner join,Outer join,Left join,Top join,4,2,2,DBMS
Relational Model and Normalization,Which of the following is used to ensure referential integrity in a relational database?,Primary key,Foreign key,Composite key,Unique key,2,1,1,DBMS
Relational Model and Normalization,Which of the following is a technique used to remove redundancy in a database?,Normalization,Denormalization,Data modeling,Data warehousing,1,2,3,DBMS
Relational Model and Normalization,Which normal form is achieved when all non-key attributes are functionally dependent on the primary key and there are no transitive dependencies?,1NF,2NF,3NF,BCNF,4,3,4,DBMS
Relational Model and Normalization,Which of the following is a property of a good database design?,Elimination of redundancy,High data density,Low data integrity,Low data consistency,1,2,3,DBMS
SQL and Data Definition Language (DDL),What is the full form of SQL?,Structured Query List,Structured Query Language,Standard Query List,Standard Query Language,2,1,1,DBMS
SQL and Data Definition Language (DDL),What is the purpose of Data Definition Language (DDL) in SQL?,To define and modify the structure of database objects,To manipulate and retrieve data from a database,To control access to the database,To perform backup and recovery of the database,1,2,2,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to create a table in SQL?,SELECT,CREATE,UPDATE,DELETE,2,2,2,DBMS
SQL and Data Definition Language (DDL),What is the purpose of the PRIMARY KEY constraint in SQL?,To ensure that the values in a column are unique,To specify a default value for a column,To allow null values in a column,To define a relationship between two tables,1,3,3,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to alter a table in SQL?,ALTER TABLE,MODIFY TABLE,UPDATE TABLE,CHANGE TABLE,1,3,4,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to add a new column to an existing table in SQL?,ADD COLUMN,INSERT COLUMN,NEW COLUMN,CREATE COLUMN,1,2,2,DBMS
SQL and Data Definition Language (DDL),What is the purpose of the FOREIGN KEY constraint in SQL?,To enforce referential integrity between tables,To ensure that the values in a column are unique,To specify a default value for a column,To allow null values in a column,1,3,3,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to drop a table in SQL?,DROP TABLE,DELETE TABLE,REMOVE TABLE,ERASE TABLE,1,2,2,DBMS
SQL and Data Definition Language (DDL),What is the purpose of the CHECK constraint in SQL?,To ensure that the values in a column satisfy a specific condition,To specify a default value for a column,To allow null values in a column,To define a relationship between two tables,1,3,3,DBMS
SQL and Data Definition Language (DDL),Which of the following statements is used to create an index in SQL?,CREATE INDEX,ADD INDEX,MAKE INDEX,GENERATE INDEX,1,2,2,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following is not a type of SQL statement?,Data Definition Language (DDL),Data Manipulation Language (DML),Data Query Language (DQL),Data Control Language (DCL),3,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to insert new records into a table?,SELECT,UPDATE,DELETE,INSERT,4,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to retrieve data from a database?,SELECT,INSERT,UPDATE,DELETE,1,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL operator is used to join tables?,GROUP BY,ORDER BY,JOIN BY,FILTER BY,3,2,2,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to change the data in a database?,SELECT,UPDATE,DELETE,INSERT,2,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to remove data from a database?,SELECT,UPDATE,DELETE,INSERT,3,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL operator is used to retrieve specific data from a table based on a certain criteria?,ORDER BY,GROUP BY,FILTER BY,WHERE,4,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following is a technique used to optimize SQL queries to execute faster?,Indexing,Normalizing,Denormalizing,Partitioning,1,3,4,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following SQL statement is used to update existing records in a table?,SELECT,UPDATE,DELETE,INSERT,2,1,1,DBMS
Data Manipulation Language (DML) and Query Optimization,Which of the following is not a SQL Aggregate function?,MAX(),MIN(),AVG(),UPSERT(),4,2,2,DBMS
Indexing and Query Execution Plans,Which of the following is not an advantage of indexing in a database?,Faster data retrieval,Reduced disk I/O,Decreased storage requirements,Improved query performance,3,2,2,DBMS
Indexing and Query Execution Plans,Which of the following is a commonly used indexing technique in relational databases?,B-tree indexing,Hash indexing,Inverted indexing,Clustered indexing,1,2,2,DBMS
Indexing and Query Execution Plans,Which of the following is not a type of join used in SQL?,Inner join,Outer join,Full join,Split join,4,1,1,DBMS
Indexing and Query Execution Plans,Which of the following keyword is used to sort the result set in a SQL query?,SELECT,ORDER BY,GROUP BY,WHERE,2,1,1,DBMS
Indexing and Query Execution Plans,Which of the following is a technique used to optimize a SQL query for improved performance?,Indexing,Partitioning,Query caching,Query optimization,4,3,4,DBMS
Indexing and Query Execution Plans,Which of the following is a plan generated by a database system to execute a SQL query?,Query plan,Execution plan,Indexing plan,Partitioning plan,2,3,4,DBMS
Indexing and Query Execution Plans,Which of the following statement is true about the cost-based query optimizer in a database system?,It selects the best query plan based on the estimated cost of executing a query,It selects the first query plan that it finds,It selects the query plan with the highest cost,It selects the query plan with the lowest cost,1,3,4,DBMS
Indexing and Query Execution Plans,Which of the following statement is true about clustered indexing in a database?,It determines the physical order of data in a table,It is used to create a copy of an existing table,It is used to enforce referential integrity constraints,It is used to reduce disk I/O,1,2,2,DBMS
Indexing and Query Execution Plans,Which of the following keyword is used to combine multiple SELECT statements into a single result set in a SQL query?,JOIN,UNION,LIKE,IN,2,2,3,DBMS
Indexing and Query Execution Plans,Which of the following is not a disadvantage of indexing in a database?,Increased storage requirements,Decreased write performance,Increased disk I/O,Improved query performance,4,1,1,DBMS
Database Security and Authorization,Which of the following is the process of verifying that a user is who they claim to be?,Authentication,Authorization,Encryption,Decryption,1,1,1,DBMS
Database Security and Authorization,Which of the following is the process of determining what level of access an authenticated user should have to a database?,Authentication,Authorization,Encryption,Decryption,2,1,1,DBMS
Database Security and Authorization,Which of the following is a database security measure that is used to protect sensitive data by encoding it into an unreadable format?,Encryption,Decryption,Authentication,Authorization,1,2,2,DBMS
Database Security and Authorization,Which of the following is a database security measure that allows access to data to be granted or denied based on the user's identity or role?,Authentication,Authorization,Encryption,Decryption,2,1,1,DBMS
Database Security and Authorization,Which of the following is a database security measure that ensures that data is not modified or accessed by unauthorized users during a transaction?,Concurrency control,Authorization,Encryption,Decryption,1,3,3,DBMS
Database Security and Authorization,Which of the following is a database security measure that limits the ability of users to view and modify data only to the extent that is necessary to perform their job duties?,Least privilege,Authorization,Encryption,Decryption,1,2,2,DBMS
Database Security and Authorization,Which of the following is a database security measure that audits database activity and tracks changes to data to ensure compliance with regulations and policies?,Database auditing,Authorization,Encryption,Decryption,1,3,3,DBMS
Database Security and Authorization,Which of the following is a database security measure that controls access to sensitive data by allowing it to be accessed only through specific applications?,Application-level security,Authorization,Encryption,Decryption,1,3,4,DBMS
Database Security and Authorization,Which of the following is a database security measure that allows data to be automatically encrypted when it is stored in a database?,Transparent data encryption,Authorization,Encryption,Decryption,1,2,2,DBMS
Database Security and Authorization,Which of the following is a database security measure that ensures that data is not lost due to system failures or disasters by making backup copies of the database?,Database backup and recovery,Authorization,Encryption,Decryption,1,2,2,DBMS
Transactions and Concurrency Control,Which of the following is the primary goal of concurrency control in a database?,Ensuring data consistency,Improving query performance,Reducing disk space usage,Optimizing database design,1,2,2,DBMS
Transactions and Concurrency Control,What is a transaction in a database?,A single SQL statement,A collection of SQL statements,A set of tables,A database schema,2,1,1,DBMS
Transactions and Concurrency Control,Which of the following is a property of a transaction in a database?,Atomicity,Concurrent execution,Partial rollback,Optimistic locking,1,2,2,DBMS
Transactions and Concurrency Control,What is a deadlock in a database?,A situation where two or more transactions are waiting for each other to release locks,A situation where a transaction is waiting for another transaction to commit or rollback,A situation where a transaction has an incorrect view of the database,A situation where a transaction is aborted due to a conflict with another transaction,1,3,3,DBMS
Transactions and Concurrency Control,Which of the following is a technique used for concurrency control in a database?,Locking,Sorting,Indexing,Clustering,1,2,2,DBMS
Transactions and Concurrency Control,Which of the following is a type of lock used for concurrency control in a database?,Shared lock,Exclusive lock,Update lock,All of the above,4,3,4,DBMS
Transactions and Concurrency Control,What is optimistic locking in a database?,A technique where a transaction acquires a lock before accessing a record,A technique where a transaction assumes that there will be no conflicts and proceeds without acquiring locks,A technique where a transaction releases locks after it has finished accessing a record,A technique where a transaction uses a timestamp to determine the order of operations,2,3,3,DBMS
Transactions and Concurrency Control,What is a transaction isolation level in a database?,A property that determines the level of concurrency in a database,A property that determines the level of data consistency in a database,A property that determines the level of data security in a database,A property that determines the level of database performance,1,2,2,DBMS
Transactions and Concurrency Control,Which of the following is a transaction isolation level in a database?,Read uncommitted,Read committed,Repeatable read,All of the above,4,3,4,DBMS
Transactions and Concurrency Control,What is a serializable transaction isolation level in a database?,A transaction isolation level where transactions are executed sequentially,A transaction isolation level where transactions are executed concurrently,A transaction isolation level where conflicts are resolved using optimistic locking,A transaction isolation level where conflicts are resolved using pessimistic locking,1,3,3,DBMS
Backup Recovery and High Availability,What is the purpose of database backup?,To protect against data loss,To improve query performance,To add new features to the database,To simplify data modeling,1,1,1,DBMS
Backup Recovery and High Availability,Which of the following backup types takes the longest to perform?,Full backup,Incremental backup,Differential backup,Transaction log backup,1,2,3,DBMS
Backup Recovery and High Availability,What is the purpose of database recovery?,To restore a database to a consistent state after a failure,To make a copy of the database for testing purposes,To delete old data from the database,To optimize database performance,1,2,2,DBMS
Backup Recovery and High Availability,What is the purpose of high availability in database systems?,To minimize downtime and ensure access to data at all times,To improve database performance,To enable data analysis and reporting,To simplify database administration,1,3,3,DBMS
Backup Recovery and High Availability,Which of the following is a commonly used backup storage medium?,Magnetic tape,CD-ROM,USB flash drive,Hard disk drive,4,1,1,DBMS
Backup Recovery and High Availability,What is the difference between a full backup and an incremental backup?,A full backup backs up all data while an incremental backup only backs up data that has changed since the last backup,A full backup only backs up data that has changed since the last backup while an incremental backup backs up all data,A full backup and an incremental backup are the same thing,A full backup is faster than an incremental backup,1,2,2,DBMS
Backup Recovery and High Availability,Which of the following is an example of a disaster recovery plan?,Backing up data to a remote location,Using RAID technology to improve database performance,Using a load balancer to distribute database queries,Using an index to improve query performance,1,3,4,DBMS
Backup Recovery and High Availability,Which of the following is a common method for achieving high availability in database systems?,Database replication,Data encryption,Query optimization,Schema design,1,2,3,DBMS
Backup Recovery and High Availability,Which of the following is an example of a high availability technique?,Database mirroring,Data compression,Table partitioning,Query tuning,1,3,3,DBMS
Backup Recovery and High Availability,What is the purpose of a backup and recovery plan?,To ensure that data can be restored after a failure,To improve database performance,To simplify database administration,To enable data analysis and reporting,1,1,1,DBMS
NoSQL Databases and Big Data Management,What is a NoSQL database?,A database that does not use SQL as its query language,A database that only stores data in a single table,A database that is not compatible with any programming language,A database that does not require indexing,1,2,2,DBMS
NoSQL Databases and Big Data Management,What is the advantage of using a NoSQL database?,Ability to handle unstructured and semi-structured data,Higher consistency guarantees,Lower scalability,Ability to enforce schema constraints,1,3,3,DBMS
NoSQL Databases and Big Data Management,Which of the following is a type of NoSQL database?,Document-oriented database,Relational database,Flat-file database,Hierarchical database,1,2,2,DBMS
NoSQL Databases and Big Data Management,What is CAP theorem?,A theorem that states it is impossible for a distributed system to simultaneously provide consistency availability and partition tolerance,An algorithm used for sorting data in a NoSQL database,A theorem that states a database should have a schema,An algorithm used for indexing data in a NoSQL database,1,3,4,DBMS
NoSQL Databases and Big Data Management,What is a sharding in a NoSQL database?,The process of partitioning data across multiple servers,The process of backing up data to a different server,The process of indexing data for faster query response,The process of optimizing data storage,1,3,3,DBMS
NoSQL Databases and Big Data Management,What is Hadoop?,An open-source software framework used for distributed storage and processing of big data,An RDBMS,An indexing algorithm used in NoSQL databases,A data visualization tool,1,2,2,DBMS
NoSQL Databases and Big Data Management,What is MapReduce?,A programming model used for processing large amounts of data in a distributed system,A query language used in NoSQL databases,A schema used for organizing data in a NoSQL database,A data processing tool,1,3,3,DBMS
NoSQL Databases and Big Data Management,What is the difference between a traditional database and a Big Data system?,Big Data systems are designed to handle large volumes of unstructured data,Traditional databases are faster than Big Data systems,Traditional databases are better at handling real-time data,Traditional databases require less storage space,1,2,3,DBMS
NoSQL Databases and Big Data Management,What is Apache Cassandra?,A distributed NoSQL database management system,An SQL database management system,A data warehousing tool,An indexing algorithm used in NoSQL databases,1,3,3,DBMS
NoSQL Databases and Big Data Management,What is a key-value store database?,A database that stores data as key-value pairs,An SQL database that only stores keys as values,An indexing algorithm used in NoSQL databases,An SQL database that stores values as keys,1,2,2,DBMS
Distributed Databases and Replication,What is a distributed database?,A database that is stored on a single computer, A database that is replicated on multiple computers, A database that is partitioned across multiple computers, A database that is only accessible through a network connection,3,2,2,DBMS
Distributed Databases and Replication,What is database replication?,The process of distributing a database across multiple computers, The process of creating a copy of a database on another computer, The process of optimizing database performance, The process of securing a database against unauthorized access,2,2,2,DBMS
Distributed Databases and Replication,What are the advantages of using a distributed database?,Improved availability and reliability, Reduced cost of hardware, Improved security, Increased query performance,1,3,3,DBMS
Distributed Databases and Replication,What is database partitioning?,The process of distributing a database across multiple computers, The process of dividing a database into smaller more manageable parts, The process of creating a copy of a database on another computer, The process of optimizing database performance,2,3,3,DBMS
Distributed Databases and Replication,What is database sharding?,A form of horizontal database partitioning, A form of vertical database partitioning, A process of replicating a database on multiple computers, A process of distributing a database across multiple locations,1,3,4,DBMS
Distributed Databases and Replication,What is the CAP theorem?,A principle in distributed computing, A method of data encryption, A database management system, A network protocol,1,3,4,DBMS
Distributed Databases and Replication,What is consistency in distributed databases?,Ensuring that all nodes see the same data at the same time, Ensuring that data is available when requested, Ensuring that data is not lost in the event of a failure, Ensuring that data is not corrupted,1,2,2,DBMS
Distributed Databases and Replication,What is partition tolerance in the CAP theorem?,The ability of a system to function even if network partitions occur, The ability of a system to always provide consistent data, The ability of a system to handle a large number of requests, The ability of a system to recover quickly from failures,1,3,3,DBMS
Distributed Databases and Replication,What is the role of a coordinator in a distributed database?,To manage the replication of data across nodes, To ensure consistency of data across nodes, To handle queries from clients and route them to the appropriate nodes, To monitor the health of each node in the system,3,2,2,DBMS
Distributed Databases and Replication,What is the purpose of data partitioning in a distributed database?,To improve performance and scalability, To ensure data is always consistent across all nodes, To improve security, To reduce the cost of hardware,1,3,3,DBMS
Introduction to OOP,What does OOP stand for?,Object-Oriented Programming,Object-Oriented Protocol,Overriding Oriented Programming,Object Output Programming,1,1,1,OOPS
Introduction to OOP,Which of the following is not a fundamental concept of OOP?,Inheritance,Polymorphism,Abstraction,Relational,4,2,2,OOPS
Introduction to OOP,Which of the following is not a characteristic of OOP?,Encapsulation,Polymorphism,Inheritance,Function-oriented,4,1,1,OOPS
Introduction to OOP,Which of the following best describes inheritance in OOP?,It allows a class to inherit properties and behaviors of another class,It allows a class to override properties and behaviors of another class,It allows a class to encapsulate properties and behaviors of another class,It allows a class to implement properties and behaviors of another class,1,2,2,OOPS
Introduction to OOP,Which of the following best describes polymorphism in OOP?,It allows a class to inherit properties and behaviors of another class,It allows a class to override properties and behaviors of another class,It allows objects of different classes to be treated as if they were objects of the same class,It allows a class to encapsulate properties and behaviors of another class,3,2,3,OOPS
Introduction to OOP,What is a class in OOP?,A blueprint for creating objects,A behavior of an object,A property of an object,A way of representing data,1,1,1,OOPS
Introduction to OOP,What is an object in OOP?,An instance of a class,A blueprint for creating classes,A way of representing data,A behavior of an object,1,1,1,OOPS
Introduction to OOP,Which of the following is a real-world example of encapsulation in OOP?,A car with its internal components hidden,A car with its internal components visible,A building with all of its internal systems visible,A building with all of its internal systems hidden,1,3,4,OOPS
Introduction to OOP,Which of the following is a real-world example of inheritance in OOP?,A sports car and a sedan car inheriting properties and behaviors from a car class,A laptop and a desktop inheriting properties and behaviors from a computer class,A book and a pen inheriting properties and behaviors from a writing instrument class,A house and a car inheriting properties and behaviors from a transportation class,1,3,3,OOPS
Introduction to OOP,Which of the following is a real-world example of polymorphism in OOP?,A cat and a dog inheriting properties and behaviors from an animal class,A square and a rectangle inheriting properties and behaviors from a shape class,A bike and a car inheriting properties and behaviors from a vehicle class,A teacher and a student inheriting properties and behaviors from a person class,2,3,4,OOPS
Encapsulation and Abstraction,Which of the following concepts focuses on hiding the complexity of an object and showing only essential features to the user?,Encapsulation,Abstraction,Inheritance,Polymorphism,2,2,2,OOPS
Encapsulation and Abstraction,Which of the following is not a benefit of encapsulation?,Code reusability,Data hiding,Improved modularity,Easier maintenance,4,1,1,OOPS
Encapsulation and Abstraction,Which of the following is not true about encapsulation?,It provides improved security,It reduces the complexity of code,It helps in achieving abstraction,It allows direct access to object's internal state,4,2,2,OOPS
Encapsulation and Abstraction,Which of the following is an example of abstraction in object-oriented programming?,Instantiating an object,Implementing an interface,Declaring a variable,Using a method,4,2,3,OOPS
Encapsulation and Abstraction,Which of the following refers to the process of bundling data and methods into a single unit?,Encapsulation,Abstraction,Inheritance,Polymorphism,1,1,1,OOPS
Encapsulation and Abstraction,Which of the following is not an access modifier in Java?,public,protected,private,static,4,2,2,OOPS
Encapsulation and Abstraction,Which of the following is not an example of encapsulation in Java?,Getters and Setters,Constructors,Instance variables,Inheritance,4,2,2,OOPS
Encapsulation and Abstraction,Which of the following keywords is used to implement abstraction in Java?,this,super,abstract,interface,3,2,3,OOPS
Encapsulation and Abstraction,Which of the following keywords is used to implement encapsulation in Java?,this,super,private,protected,3,1,2,OOPS
Encapsulation and Abstraction,Which of the following is an example of encapsulation and abstraction in Java?,The use of interfaces,The use of inheritance,The use of static methods,The use of public variables,1,3,4,OOPS
Inheritance and Polymorphism,What is inheritance in object-oriented programming?,The ability to create multiple instances of a class,The process of creating a new class from an existing class,The ability of an object to take on many forms,The process of creating a new object,2,2,2,OOPS
Inheritance and Polymorphism,What is the purpose of using inheritance in object-oriented programming?,To reduce code redundancy,To make the code more readable,To increase the speed of the program,To reduce the size of the program,1,2,2,OOPS
Inheritance and Polymorphism,What is polymorphism in object-oriented programming?,The ability of an object to take on many forms,The process of creating a new class from an existing class,The ability to create multiple instances of a class,The process of creating a new object,1,2,2,OOPS
Inheritance and Polymorphism,What is the purpose of using polymorphism in object-oriented programming?,To create more instances of a class,To reduce code redundancy,To make the code more readable,To increase the speed of the program,2,2,2,OOPS
Inheritance and Polymorphism,What is method overriding in object-oriented programming?,The ability of a subclass to provide its own implementation of a method that is already defined in its superclass,The ability of a superclass to provide its own implementation of a method that is already defined in its subclass,The process of creating a new class from an existing class,The ability to create multiple instances of a class,1,3,3,OOPS
Inheritance and Polymorphism,What is method overloading in object-oriented programming?,The ability to create multiple instances of a class,The ability of a subclass to provide its own implementation of a method that is already defined in its superclass,The process of creating a new class from an existing class,The ability to provide multiple implementations of a method with different parameters,4,2,2,OOPS
Inheritance and Polymorphism,What is the difference between method overloading and method overriding in object-oriented programming?,Method overloading is used to provide multiple implementations of a method with different parameters while method overriding is used to provide a new implementation of an existing method in a subclass,Method overriding is used to provide multiple implementations of a method with different parameters while method overloading is used to provide a new implementation of an existing method in a subclass,Method overloading and method overriding are the same thing,Method overloading is not used in object-oriented programming,1,3,4,OOPS
Inheritance and Polymorphism,What is a superclass in object-oriented programming?,A class that inherits properties and methods from another class,The parent class of an object,An object that inherits properties and methods from another object,The child class of an object,1,2,3,OOPS
Inheritance and Polymorphism,What is a subclass in object-oriented programming?,A class that inherits properties and methods from another class,The parent class of an object,An object that inherits properties and methods from another object,The child class of an object,4,2,3,OOPS
Inheritance and Polymorphism,What is the purpose of using abstract classes and interfaces in object-oriented programming?,To provide a common interface for a group of related classes,To create objects,To provide a blueprint for a class,To store data,1,3,4,OOPS
Interfaces and Abstract Classes,What is an abstract class?,A class that can be instantiated directly,An interface with no method, A class with at least one abstract method, A class with only private methods,3,2,2,OOPS
Interfaces and Abstract Classes,What is the purpose of an interface in Java?,To provide a default implementation for a set of methods, To define a contract for a set of methods that a class must implement, To provide a way to declare constants in a class, To define a set of related methods that can be invoked by a class,2,2,2,OOPS
Interfaces and Abstract Classes,Which of the following is true about interfaces in Java?,An interface can be used to define a concrete class, An interface can only contain abstract methods, An interface can contain both abstract and non-abstract methods, An interface cannot be implemented by a class,2,2,2,OOPS
Interfaces and Abstract Classes,What is the purpose of an abstract method?,To provide a default implementation for a set of methods, To define a contract for a method that a class must implement, To provide a way to declare constants in a class, To define a set of related methods that can be invoked by a class,2,2,2,OOPS
Interfaces and Abstract Classes,What is the difference between an interface and an abstract class?,An interface can only contain abstract methods while an abstract class can contain both abstract and non-abstract methods, An interface can be instantiated directly while an abstract class cannot, An abstract class can only contain abstract methods while an interface can contain both abstract and non-abstract methods, An abstract class can be implemented by a class while an interface cannot be implemented,1,2,2,OOPS
Interfaces and Abstract Classes,What is the purpose of a default method in an interface?,To provide a default implementation for a method that a class must implement, To define a contract for a method that a class must implement, To provide a way to declare constants in a class, To define a set of related methods that can be invoked by a class,1,3,3,OOPS
Interfaces and Abstract Classes,Can an interface extend another interface?,Yes an interface can extend another interface, No an interface cannot extend another interface, Yes but only if the extended interface is also abstract, Yes but only if the extended interface does not contain any abstract methods,1,3,4,OOPS
Interfaces and Abstract Classes,Can an abstract class implement an interface?,Yes an abstract class can implement an interface, No an abstract class cannot implement an interface, Yes but only if the interface contains only non-abstract methods, Yes but only if the abstract class contains only non-abstract methods,1,3,4,OOPS
Interfaces and Abstract Classes,Which of the following is not a feature of interfaces in Java?,An interface can contain constants, An interface can only contain non-abstract methods, A class can implement multiple interfaces, An interface can be extended by another interface,2,2,2,OOPS
Interfaces and Abstract Classes,What is the purpose of an abstract class that implements an interface?,To provide a default implementation for a set of methods defined in the interface, To provide an implementation for all methods defined in the interface, To declare a set of related methods that a class must implement, To define a set of constants that a class must use,1,3,3,OOPS
Overloading and Overriding,Which of the following is a compile-time polymorphism?,Overloading,Overriding,Both A and B,None of the above,1,1,1,OOPS
Overloading and Overriding,Which of the following is not true about overloading?,Two or more methods can have the same name in a class,Overloading can be performed on constructors,Return type of overloaded method can be different,Parameters of overloaded method should be different,3,2,2,OOPS
Overloading and Overriding,Which of the following is not true about overriding?,Two or more methods can have the same name in a class,Return type of overriding method should be same as the overridden method,Parameters of overriding method should be same as the overridden method,The access level of the overriding method can be more restrictive than the overridden method,1,2,2,OOPS
Overloading and Overriding,Which of the following is a run-time polymorphism?,Overloading,Overriding,Both A and B,None of the above,2,1,1,OOPS
Overloading and Overriding,Which of the following is true about method overloading?,Overloading increases the readability of the program,Overloading can't be performed on constructors,The overloaded method can have different return types,The overloaded method must have the same name and same parameters,1,2,3,OOPS
Overloading and Overriding,Which of the following is true about method overriding?,Overriding is used for runtime polymorphism,Overriding is used for code reuse,Overriding can't be performed on private methods,The overridden method must have the same name parameters and return type,4,2,3,OOPS
Overloading and Overriding,Which of the following is not an example of overloading?,Different number of parameters,Same number of parameters with different data types,Same number of parameters with same data types but different sequence,Same number of parameters with same data types and same sequence,4,1,2,OOPS
Overloading and Overriding,Which of the following is not an example of overriding?,A subclass providing its own implementation for a method defined in its superclass,The access level of the overriding method is less restrictive than the overridden method,The overridden method is marked as final in the superclass,The name of the overriding method is the same as the overridden method,3,3,4,OOPS
Overloading and Overriding,Which of the following is used for compile-time polymorphism?,Overloading,Overriding,Both A and B,None of the above,1,1,1,OOPS
