Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
499,The Maze III,Hard,"The Maze,The Maze II","Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path"
500,Keyboard Row,Easy,"Minimum Index Sum of Two Lists,Sentence Similarity,Find Common Characters,Isomorphic Strings,Word Pattern","Array,Hash Table,String"
501,Find Mode in Binary Search Tree,Easy,Validate Binary Search Tree,"Tree,Depth-First Search,Binary Search Tree,Binary Tree"
502,IPO,Hard,"Maximum Performance of a Team,Average Height of Buildings in Each Segment,Course Schedule III,Employee Free Time,Minimum Cost to Connect Sticks","Array,Greedy,Sorting,Heap (Priority Queue)"
503,Next Greater Element II,Medium,"Next Greater Element I,Next Greater Element III","Array,Stack,Monotonic Stack"
504,Base 7,Easy,"Palindrome Number,Ugly Number,Perfect Number,Self Dividing Numbers,Confusing Number",Math
505,The Maze II,Medium,"The Maze,The Maze III","Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path"
506,Relative Ranks,Easy,"Largest Number After Digit Swaps by Parity,Single-Threaded CPU,Employee Free Time,Find Subsequence of Length K With the Largest Sum,Average Height of Buildings in Each Segment","Array,Sorting,Heap (Priority Queue)"
507,Perfect Number,Easy,Self Dividing Numbers,Math
508,Most Frequent Subtree Sum,Medium,"Subtree of Another Tree,Count Nodes Equal to Sum of Descendants","Hash Table,Tree,Depth-First Search,Binary Tree"
509,Inorder Successor in BST II,Medium,Inorder Successor in BST,"Tree,Binary Search Tree,Binary Tree"
510,Count Subarrays With More Ones Than Zeros,Medium,"Ones and Zeroes,Longer Contiguous Segments of Ones than Zeros,All Divisions With the Highest Score of a Binary Array","Array,Binary Search,Divide and Conquer,Binary Indexed Tree,Segment Tree,Merge Sort,Ordered Set"
511,All Paths from Source Lead to Destination,Medium,"The Maze,Keys and Rooms,Find if Path Exists in Graph,Clone Graph,All Paths From Source to Target","Depth-First Search,Graph"
512,Maximum Alternating Subarray Sum,Medium,Maximum Alternating Subsequence Sum,"Array,Dynamic Programming"
513,Find Bottom Left Tree Value,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
514,Freedom Trail,Hard,"Serialize and Deserialize N-ary Tree,Nested List Weight Sum,Jump Game III,K-Similar Strings,Tree Diameter","String,Dynamic Programming,Depth-First Search,Breadth-First Search"
515,Find Largest Value in Each Tree Row,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
516,Longest Palindromic Subsequence,Medium,"Longest Palindromic Substring,Palindromic Substrings,Count Different Palindromic Subsequences,Longest Common Subsequence,Longest Palindromic Subsequence II,Maximize Palindrome Length From Subsequences,Maximum Product of the Length of Two Palindromic Subsequences","String,Dynamic Programming"
517,Super Washing Machines,Hard,"Patching Array,Earliest Possible Day of Full Bloom,Gas Station,Increasing Triplet Subsequence,Maximize the Topmost Element After K Moves","Array,Greedy"
518,Coin Change 2,Medium,Maximum Value of K Coins From Piles,"Array,Dynamic Programming"
519,Widest Pair of Indices With Equal Range Sum,Medium,"Contiguous Array,Subarray Sum Equals K,Subarray Sums Divisible by K,Make Sum Divisible by P,Intervals Between Identical Elements","Array,Hash Table,Prefix Sum"
520,Detect Capital,Easy,Capitalize the Title,String
521,Longest Uncommon Subsequence I,Easy,Longest Uncommon Subsequence II,String
522,Longest Uncommon Subsequence II,Medium,Longest Uncommon Subsequence I,"Array,Hash Table,Two Pointers,String,Sorting"
523,Continuous Subarray Sum,Medium,"Subarray Sum Equals K,Minimum Number of Operations to Make Array Continuous,Intervals Between Identical Elements","Array,Hash Table,Math,Prefix Sum"
524,Longest Word in Dictionary through Deleting,Medium,Longest Word in Dictionary,"Array,Two Pointers,String,Sorting"
525,Contiguous Array,Medium,Maximum Size Subarray Sum Equals k,"Array,Hash Table,Prefix Sum"
526,Beautiful Arrangement,Medium,Beautiful Arrangement II,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask"
527,Word Abbreviation,Hard,"Valid Word Abbreviation,Minimum Unique Word Abbreviation","Array,String,Greedy,Trie,Sorting"
528,Swapping Nodes in a Linked List,Medium,"Remove Nth Node From End of List,Swap Nodes in Pairs,Reverse Nodes in k-Group","Linked List,Two Pointers"
529,Minesweeper,Medium,Detonate the Maximum Bombs,"Array,Depth-First Search,Breadth-First Search,Matrix"
530,Minimum Absolute Difference in BST,Easy,K-diff Pairs in an Array,"Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree"
531,Lonely Pixel I,Medium,Lonely Pixel II,"Array,Hash Table,Matrix"
532,K-diff Pairs in an Array,Medium,"Minimum Absolute Difference in BST,Count Number of Pairs With Absolute Difference K,Kth Smallest Product of Two Sorted Arrays","Array,Hash Table,Two Pointers,Binary Search,Sorting"
533,Lonely Pixel II,Medium,Lonely Pixel I,"Array,Hash Table,Matrix"
535,Encode and Decode TinyURL,Medium,"Strings Differ by One Character,Design Underground System,Design HashSet,Design HashMap,Unique Word Abbreviation","Hash Table,String,Design,Hash Function"
536,Construct Binary Tree from String,Medium,Construct String from Binary Tree,"String,Tree,Depth-First Search,Binary Tree"
537,Complex Number Multiplication,Medium,"Multiply Strings,Fraction Addition and Subtraction,Solve the Equation,Find Three Consecutive Integers That Sum to a Given Number,Fizz Buzz","Math,String,Simulation"
538,Convert BST to Greater Tree,Medium,"Validate Binary Search Tree,Kth Smallest Element in a BST,Inorder Successor in BST,Count Nodes Equal to Sum of Descendants,Count Complete Tree Nodes","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
539,Minimum Time Difference,Medium,Minimum Cost to Set Cooking Time,"Array,Math,String,Sorting"
540,Single Element in a Sorted Array,Medium,"Search in Rotated Sorted Array,Find First and Last Position of Element in Sorted Array,Search in Rotated Sorted Array II,Find Minimum in Rotated Sorted Array,Find Peak Element","Array,Binary Search"
541,Reverse String II,Easy,"Reverse String,Reverse Words in a String III","Two Pointers,String"
542,01 Matrix,Medium,"Shortest Path to Get Food,Minimum Operations to Remove Adjacent Ones in Matrix","Array,Dynamic Programming,Breadth-First Search,Matrix"
543,Diameter of Binary Tree,Easy,Diameter of N-Ary Tree,"Tree,Depth-First Search,Binary Tree"
544,Output Contest Matches,Medium,"Strobogrammatic Number II,Decode the Slanted Ciphertext,Execution of All Suffix Instructions Staying in a Grid,Special Binary String,Multiply Strings","String,Recursion,Simulation"
545,Boundary of Binary Tree,Medium,Binary Tree Right Side View,"Tree,Depth-First Search,Binary Tree"
546,Remove Boxes,Hard,"Strange Printer,Number of Unique Flavors After Sharing K Candies","Array,Dynamic Programming,Memoization"
547,Number of Provinces,Medium,"Number of Connected Components in an Undirected Graph,Robot Return to Origin,Sentence Similarity,Sentence Similarity II,The Earliest Moment When Everyone Become Friends,Detonate the Maximum Bombs","Depth-First Search,Breadth-First Search,Union Find,Graph"
548,Split Array with Equal Sum,Hard,Number of Ways to Split a String,"Array,Prefix Sum"
549,Binary Tree Longest Consecutive Sequence II,Medium,"Binary Tree Longest Consecutive Sequence,Check if an Array Is Consecutive","Tree,Depth-First Search,Binary Tree"
550,Shortest Path to Get Food,Medium,"01 Matrix,Shortest Path in a Grid with Obstacles Elimination","Array,Breadth-First Search,Matrix"
551,Student Attendance Record I,Easy,Student Attendance Record II,String
552,Student Attendance Record II,Hard,Student Attendance Record I,Dynamic Programming
553,Optimal Division,Medium,"Number of Smooth Descent Periods of a Stock,Integer Break,2 Keys Keyboard,4 Keys Keyboard,Number of Ways to Build House of Cards","Array,Math,Dynamic Programming"
554,Brick Wall,Medium,Number of Ways to Build Sturdy Brick Wall,"Array,Hash Table"
555,Split Concatenated Strings,Medium,"Minimum Number of Flips to Make the Binary String Alternating,Gas Station,Increasing Triplet Subsequence,Maximize the Topmost Element After K Moves,Maximum Number of Consecutive Values You Can Make","Array,String,Greedy"
556,Next Greater Element III,Medium,"Next Greater Element I,Next Greater Element II,Next Palindrome Using Same Digits","Math,Two Pointers,String"
557,Reverse Words in a String III,Easy,Reverse String II,"Two Pointers,String"
560,Subarray Sum Equals K,Medium,"Two Sum,Continuous Subarray Sum,Subarray Product Less Than K,Find Pivot Index,Subarray Sums Divisible by K,Minimum Operations to Reduce X to Zero,K Radius Subarray Averages,Maximum Sum Score of Array","Array,Hash Table,Prefix Sum"
561,Array Partition I,Easy,"Minimum Difference Between Highest and Lowest of K Scores,Minimum Cost of Buying Candies With Discount,All Divisions With the Highest Score of a Binary Array","Array,Greedy,Sorting,Counting Sort"
562,Longest Line of Consecutive One in Matrix,Medium,"Unique Paths II,Minimum Path Sum,Maximal Square,Bomb Enemy,Minimum Falling Path Sum","Array,Dynamic Programming,Matrix"
563,Binary Tree Tilt,Easy,Find All The Lonely Nodes,"Tree,Depth-First Search,Binary Tree"
564,Find the Closest Palindrome,Hard,"Find Palindrome With Fixed Length,Next Palindrome Using Same Digits","Math,String"
565,Array Nesting,Medium,"Nested List Weight Sum,Flatten Nested List Iterator,Nested List Weight Sum II","Array,Depth-First Search"
566,Reshape the Matrix,Easy,Convert 1D Array Into 2D Array,"Array,Matrix,Simulation"
567,Permutation in String,Medium,"Minimum Window Substring,Find All Anagrams in a String","Hash Table,Two Pointers,String,Sliding Window"
568,Maximum Vacation Days,Hard,Cheapest Flights Within K Stops,"Array,Dynamic Programming,Matrix"
569,Median Employee Salary,Hard,Find Median Given Frequency of Numbers,Database
570,Managers with at Least 5 Direct Reports,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
571,Find Median Given Frequency of Numbers,Hard,Median Employee Salary,Database
572,Subtree of Another Tree,Easy,"Count Univalue Subtrees,Most Frequent Subtree Sum","Tree,Depth-First Search,String Matching,Binary Tree,Hash Function"
573,Squirrel Simulation,Medium,"Minimum Moves to Equal Array Elements,Beautiful Arrangement II,Escape The Ghosts,Find Palindrome With Fixed Length,Reverse Integer","Array,Math"
574,Winning Candidate,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
575,Distribute Candies,Easy,"Two Sum,Find All Numbers Disappeared in an Array,Degree of an Array,Find the Difference of Two Arrays,Minimum Index Sum of Two Lists","Array,Hash Table"
576,Out of Boundary Paths,Medium,"Knight Probability in Chessboard,Execution of All Suffix Instructions Staying in a Grid",Dynamic Programming
577,Employee Bonus,Easy,Combine Two Tables,Database
578,Get Highest Answer Rate Question,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
579,Find Cumulative Salary of an Employee,Hard,"Trips and Users,Median Employee Salary,Find Median Given Frequency of Numbers,Average Salary: Departments VS Company,Game Play Analysis V",Database
580,Count Student Number in Departments,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
581,Shortest Unsorted Continuous Subarray,Medium,"Max Chunks To Make Sorted,The Number of Weak Characters in the Game,Max Chunks To Make Sorted II,Find the Most Competitive Subsequence,Car Fleet","Array,Two Pointers,Stack,Greedy,Sorting,Monotonic Stack"
582,Kill Process,Medium,"Clone N-ary Tree,Smallest Common Region,Create Binary Tree From Descriptions,Employee Importance,Binary Tree Vertical Order Traversal","Array,Hash Table,Tree,Depth-First Search,Breadth-First Search"
583,Delete Operation for Two Strings,Medium,"Edit Distance,Minimum ASCII Delete Sum for Two Strings,Longest Common Subsequence","String,Dynamic Programming"
584,Find Customer Referee,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
585,Investments in 2016,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
586,Customer Placing the Largest Number of Orders,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
587,Erect the Fence,Hard,Erect the Fence II,"Array,Math,Geometry"
588,Design In-Memory File System,Hard,"LRU Cache,LFU Cache,Design Log Storage System","Hash Table,String,Design,Trie"
591,Tag Validator,Hard,Add Bold Tag in String,"String,Stack"
592,Fraction Addition and Subtraction,Medium,Solve the Equation,"Math,String,Simulation"
593,Valid Square,Medium,"Rectangle Area,Rectangle Overlap,Largest Triangle Area,Erect the Fence,Erect the Fence II","Math,Geometry"
594,Longest Harmonious Subsequence,Easy,"Contains Duplicate,Rank Transform of an Array,Sort Array by Increasing Frequency,Valid Anagram,Two Sum","Array,Hash Table,Sorting"
595,Big Countries,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
596,Classes More Than 5 Students,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
597,Friend Requests I: Overall Acceptance Rate,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
598,Range Addition II,Easy,Range Addition,"Array,Math"
599,Minimum Index Sum of Two Lists,Easy,Intersection of Two Linked Lists,"Array,Hash Table,String"
600,Non-negative Integers without Consecutive Ones,Hard,"House Robber,House Robber II,Ones and Zeroes",Dynamic Programming
601,Human Traffic of Stadium,Hard,"Trips and Users,Median Employee Salary,Find Median Given Frequency of Numbers,Average Salary: Departments VS Company,Game Play Analysis V",Database
602,Friend Requests II: Who Has the Most Friends,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
603,Consecutive Available Seats,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
604,Design Compressed String Iterator,Easy,"LRU Cache,String Compression","Array,Hash Table,String,Design,Iterator"
605,Can Place Flowers,Easy,"Teemo Attacking,Asteroid Collision","Array,Greedy"
606,Construct String from Binary Tree,Easy,"Construct Binary Tree from String,Find Duplicate Subtrees","String,Tree,Depth-First Search,Binary Tree"
607,Sales Person,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
608,Tree Node,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
609,Find Duplicate File in System,Medium,Delete Duplicate Folders in System,"Array,Hash Table,String"
610,Triangle Judgement,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
611,Valid Triangle Number,Medium,3Sum Smaller,"Array,Two Pointers,Binary Search,Greedy,Sorting"
612,Shortest Distance in a Plane,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
613,Shortest Distance in a Line,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
614,Second Degree Follower,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
615,Average Salary: Departments VS Company,Hard,Countries You Can Safely Invest In,Database
616,Add Bold Tag in String,Medium,"Merge Intervals,Tag Validator","Array,Hash Table,String,Trie,String Matching"
617,Merge Two Binary Trees,Easy,"Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree,Univalued Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
618,Students Report By Geography,Hard,"Trips and Users,Median Employee Salary,Find Median Given Frequency of Numbers,Average Salary: Departments VS Company,Game Play Analysis V",Database
619,Biggest Single Number,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
620,Not Boring Movies,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
621,Task Scheduler,Medium,"Rearrange String k Distance Apart,Reorganize String,Maximum Number of Weeks for Which You Can Work","Array,Hash Table,Greedy,Sorting,Heap (Priority Queue),Counting"
623,Add One Row to Tree,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
624,Maximum Distance in Arrays,Medium,"Gas Station,Increasing Triplet Subsequence,Maximize the Topmost Element After K Moves,Maximum Number of Consecutive Values You Can Make,Maximum Number of People That Can Be Caught in Tag","Array,Greedy"
625,Minimum Factorization,Medium,"Maximum Swap,Monotone Increasing Digits,Broken Calculator,Minimum Moves to Reach Target Score,Minimum Swaps to Make Strings Equal","Math,Greedy"
626,Exchange Seats,Medium,"Nth Highest Salary,Department Highest Salary,Product Sales Analysis III,Project Employees III,Game Play Analysis III",Database
627,Swap Salary,Easy,"Combine Two Tables,Employee Bonus,Product Sales Analysis I,Product Sales Analysis II,Project Employees I",Database
628,Maximum Product of Three Numbers,Easy,Maximum Product Subarray,"Array,Math,Sorting"
629,K Inverse Pairs Array,Hard,"Student Attendance Record II,Non-negative Integers without Consecutive Ones,Number of Ways to Paint N × 3 Grid,Painting a Grid With Three Different Colors,Best Time to Buy and Sell Stock III",Dynamic Programming
630,Course Schedule III,Hard,"Course Schedule,Course Schedule II,Parallel Courses III","Array,Greedy,Heap (Priority Queue)"
631,Design Excel Sum Formula,Hard,"Parallel Courses,Number Of Ways To Reconstruct A Tree,Sequence Reconstruction,Parallel Courses III,Strange Printer II","Graph,Design,Topological Sort"
632,Smallest Range Covering Elements from K Lists,Hard,Minimum Window Substring,"Array,Hash Table,Greedy,Sliding Window,Sorting,Heap (Priority Queue)"
633,Sum of Square Numbers,Medium,Valid Perfect Square,"Math,Two Pointers,Binary Search"
634,Find the Derangement of An Array,Medium,"Integer Break,2 Keys Keyboard,4 Keys Keyboard,Number of Ways to Build House of Cards,Egg Drop With 2 Eggs and N Floors","Math,Dynamic Programming"
635,Design Log Storage System,Medium,Design In-Memory File System,"Hash Table,String,Design,Ordered Set"
636,Exclusive Time of Functions,Medium,"Asteroid Collision,Evaluate Reverse Polish Notation,Next Greater Element II,Daily Temperatures,Buildings With an Ocean View","Array,Stack"
637,Average of Levels in Binary Tree,Easy,"Binary Tree Level Order Traversal,Binary Tree Level Order Traversal II","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
638,Shopping Offers,Medium,"Partition to K Equal Sum Subsets,Beautiful Arrangement,Campus Bikes II,Minimum Number of Work Sessions to Finish the Tasks,Maximum Product of the Length of Two Palindromic Subsequences","Array,Dynamic Programming,Backtracking,Bit Manipulation,Memoization,Bitmask"
639,Decode Ways II,Hard,"Decode Ways,Number of Ways to Separate Numbers,Number of Ways to Divide a Long Corridor","String,Dynamic Programming"
640,Solve the Equation,Medium,"Fraction Addition and Subtraction,Minimize Result by Adding Parentheses to Expression","Math,String,Simulation"
642,Design Search Autocomplete System,Hard,Implement Trie (Prefix Tree),"String,Design,Trie,Data Stream"
643,Maximum Average Subarray I,Easy,"Maximum Average Subarray II,K Radius Subarray Averages","Array,Sliding Window"
644,Maximum Average Subarray II,Hard,Maximum Average Subarray I,"Array,Binary Search"
645,Set Mismatch,Easy,Find the Duplicate Number,"Array,Hash Table,Bit Manipulation,Sorting"
646,Maximum Length of Pair Chain,Medium,"Longest Increasing Subsequence,Increasing Subsequences","Array,Dynamic Programming,Greedy,Sorting"
647,Palindromic Substrings,Medium,"Longest Palindromic Substring,Longest Palindromic Subsequence","String,Dynamic Programming"
648,Replace Words,Medium,Implement Trie (Prefix Tree),"Array,Hash Table,String,Trie"
649,Dota2 Senate,Medium,Teemo Attacking,"String,Greedy,Queue"
650,2 Keys Keyboard,Medium,"4 Keys Keyboard,Broken Calculator","Math,Dynamic Programming"
651,4 Keys Keyboard,Medium,2 Keys Keyboard,"Math,Dynamic Programming"
652,Find Duplicate Subtrees,Medium,"Serialize and Deserialize Binary Tree,Serialize and Deserialize BST,Construct String from Binary Tree,Delete Duplicate Folders in System","Hash Table,Tree,Depth-First Search,Binary Tree"
653,Two Sum IV - Input is a BST,Easy,"Two Sum,Two Sum II - Input Array Is Sorted,Two Sum III - Data structure design,Two Sum BSTs","Hash Table,Two Pointers,Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree"
654,Maximum Binary Tree,Medium,Maximum Binary Tree II,"Array,Divide and Conquer,Stack,Tree,Monotonic Stack,Binary Tree"
655,Print Binary Tree,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
656,Coin Path,Hard,"House Robber,House Robber II","Array,Dynamic Programming"
657,Robot Return to Origin,Easy,"Number of Provinces,Execution of All Suffix Instructions Staying in a Grid","String,Simulation"
658,Find K Closest Elements,Medium,"Guess Number Higher or Lower,Guess Number Higher or Lower II,Find K-th Smallest Pair Distance","Array,Two Pointers,Binary Search,Sorting,Heap (Priority Queue)"
659,Split Array into Consecutive Subsequences,Medium,"Top K Frequent Elements,Divide Array in Sets of K Consecutive Numbers","Array,Hash Table,Greedy,Heap (Priority Queue)"
660,Remove 9,Hard,"Abbreviating the Product of a Range,Find the Closest Palindrome,Preimage Size of Factorial Zeroes Function,Digit Count in Range,Confusing Number II",Math
661,Image Smoother,Easy,"Valid Word Square,Toeplitz Matrix,Matrix Diagonal Sum,Determine Whether Matrix Can Be Obtained By Rotation,Check if Every Row and Column Contains All Numbers","Array,Matrix"
662,Maximum Width of Binary Tree,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
663,Equal Tree Partition,Medium,"Sum Root to Leaf Numbers,Binary Tree Upside Down,Lowest Common Ancestor of a Binary Tree,Count Univalue Subtrees,Binary Tree Longest Consecutive Sequence","Tree,Depth-First Search,Binary Tree"
664,Strange Printer,Hard,"Remove Boxes,Strange Printer II","String,Dynamic Programming"
665,Non-decreasing Array,Medium,Find Good Days to Rob the Bank,Array
666,Path Sum IV,Medium,"Path Sum,Path Sum II,Binary Tree Maximum Path Sum,Path Sum III","Array,Tree,Depth-First Search,Binary Tree"
667,Beautiful Arrangement II,Medium,Beautiful Arrangement,"Array,Math"
668,Kth Smallest Number in Multiplication Table,Hard,"Kth Smallest Element in a Sorted Matrix,Find K-th Smallest Pair Distance,K-th Smallest Prime Fraction",Binary Search
669,Trim a Binary Search Tree,Medium,"Validate Binary Search Tree,Kth Smallest Element in a BST,Inorder Successor in BST,Count Nodes Equal to Sum of Descendants,Count Complete Tree Nodes","Tree,Depth-First Search,Binary Search Tree,Binary Tree"
670,Maximum Swap,Medium,Create Maximum Number,"Math,Greedy"
671,Second Minimum Node In a Binary Tree,Easy,Kth Smallest Element in a BST,"Tree,Depth-First Search,Binary Tree"
672,Bulb Switcher II,Medium,"Bulb Switcher,Number of Times Binary String Is Prefix-Aligned","Math,Bit Manipulation,Depth-First Search,Breadth-First Search"
673,Number of Longest Increasing Subsequence,Medium,"Longest Increasing Subsequence,Longest Continuous Increasing Subsequence","Array,Dynamic Programming,Binary Indexed Tree,Segment Tree"
674,Longest Continuous Increasing Subsequence,Easy,"Number of Longest Increasing Subsequence,Minimum Window Subsequence",Array
675,Cut Off Trees for Golf Event,Hard,"Trapping Rain Water II,K Highest Ranked Items Within a Price Range,Swim in Rising Water,Path With Maximum Minimum Value,K-th Smallest Prime Fraction","Array,Breadth-First Search,Heap (Priority Queue),Matrix"
676,Implement Magic Dictionary,Medium,"Implement Trie (Prefix Tree),Longest Word in Dictionary","Hash Table,String,Design,Trie"
677,Map Sum Pairs,Medium,Sort the Jumbled Numbers,"Hash Table,String,Design,Trie"
678,Valid Parenthesis String,Medium,"Special Binary String,Check if a Parentheses String Can Be Valid","String,Dynamic Programming,Stack,Greedy"
679,24 Game,Hard,"Confusing Number II,Expression Add Operators,N-Queens,N-Queens II,Combination Sum","Array,Math,Backtracking"
680,Valid Palindrome II,Easy,"Valid Palindrome,Valid Palindrome III","Two Pointers,String,Greedy"
681,Next Closest Time,Medium,"Minimize Result by Adding Parentheses to Expression,Minimum Cost to Set Cooking Time,Count Good Triplets,Detect Pattern of Length M Repeated K or More Times,Count Special Quadruplets","String,Enumeration"
682,Baseball Game,Easy,Crawler Log Folder,"Array,Stack,Simulation"
683,K Empty Slots,Hard,"Design Most Recently Used Queue,Find the Longest Valid Obstacle Course at Each Position,Falling Squares,Amount of New Area Painted Each Day,Count of Smaller Numbers After Self","Array,Binary Indexed Tree,Sliding Window,Ordered Set"
684,Redundant Connection,Medium,"Redundant Connection II,Accounts Merge,Maximum Employees to Be Invited to a Meeting","Depth-First Search,Breadth-First Search,Union Find,Graph"
685,Redundant Connection II,Hard,Redundant Connection,"Depth-First Search,Breadth-First Search,Union Find,Graph"
686,Repeated String Match,Medium,Repeated Substring Pattern,"String,String Matching"
687,Longest Univalue Path,Medium,"Binary Tree Maximum Path Sum,Count Univalue Subtrees,Path Sum III","Tree,Depth-First Search,Binary Tree"
688,Knight Probability in Chessboard,Medium,Out of Boundary Paths,Dynamic Programming
689,Maximum Sum of 3 Non-Overlapping Subarrays,Hard,Best Time to Buy and Sell Stock III,"Array,Dynamic Programming"
690,Employee Importance,Medium,Nested List Weight Sum,"Hash Table,Depth-First Search,Breadth-First Search"
691,Stickers to Spell Word,Hard,Ransom Note,"Dynamic Programming,Backtracking,Bit Manipulation,Bitmask"
692,Top K Frequent Words,Medium,"Top K Frequent Elements,K Closest Points to Origin,Sort Features by Popularity","Hash Table,String,Trie,Sorting,Heap (Priority Queue),Bucket Sort,Counting"
693,Binary Number with Alternating Bits,Easy,Number of 1 Bits,Bit Manipulation
694,Number of Distinct Islands,Medium,"Number of Islands,Number of Distinct Islands II,Count Sub Islands","Hash Table,Depth-First Search,Breadth-First Search,Union Find,Hash Function"
695,Max Area of Island,Medium,"Number of Islands,Island Perimeter,Largest Submatrix With Rearrangements,Detonate the Maximum Bombs","Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
696,Count Binary Substrings,Easy,Encode and Decode Strings,"Two Pointers,String"
697,Degree of an Array,Easy,Maximum Subarray,"Array,Hash Table"
698,Partition to K Equal Sum Subsets,Medium,"Partition Equal Subset Sum,Maximum Number of Ways to Partition an Array","Array,Dynamic Programming,Backtracking,Bit Manipulation,Memoization,Bitmask"
699,Falling Squares,Hard,The Skyline Problem,"Array,Segment Tree,Ordered Set"
711,Number of Distinct Islands II,Hard,Number of Distinct Islands,"Hash Table,Depth-First Search,Breadth-First Search,Union Find,Hash Function"
712,Minimum ASCII Delete Sum for Two Strings,Medium,"Edit Distance,Longest Increasing Subsequence,Delete Operation for Two Strings","String,Dynamic Programming"
713,Subarray Product Less Than K,Medium,"Maximum Product Subarray,Maximum Size Subarray Sum Equals k,Subarray Sum Equals K,Two Sum Less Than K,Number of Smooth Descent Periods of a Stock","Array,Sliding Window"
714,Best Time to Buy and Sell Stock with Transaction Fee,Medium,Best Time to Buy and Sell Stock II,"Array,Dynamic Programming,Greedy"
715,Range Module,Hard,"Merge Intervals,Insert Interval,Data Stream as Disjoint Intervals","Design,Segment Tree,Ordered Set"
716,Max Stack,Easy,Min Stack,"Linked List,Stack,Design,Doubly-Linked List,Ordered Set"
717,1-bit and 2-bit Characters,Easy,Gray Code,Array
718,Maximum Length of Repeated Subarray,Medium,"Minimum Size Subarray Sum,Longest Common Subpath","Array,Binary Search,Dynamic Programming,Sliding Window,Rolling Hash,Hash Function"
